Nom|Longitude|Latitude|Long  (km)|Larg (km)|Hauteur (m)
SHEEPSHANKS C|18,09|57,03|11,0|11,0|?
SHERLOCK|30,80|20,20|0,4|0,4|
SHOEMAKER|45,91|-88,14|51,8|51,8|
SHORT|-7,68|-74,54|50,0|50,0|5700
SHORT A|-1,28|-76,94|34,0|34,0|?
SHORT B|-5,17|-75,89|71,0|71,0|?
SHORTY|30,60|20,20|0,1|0,1|
SHUCKBURGH|52,71|42,65|40,0|40,0|?
SHUCKBURGH A|55,42|43,08|19,0|19,0|?
SHUCKBURGH C|52,72|43,54|12,0|12,0|?
SHUCKBURGH E|57,00|44,05|9,0|9,0|?
SILBERSCHLAG|12,53|6,21|13,0|13,0|2530
SILBERSCHLAG A|13,22|6,93|7,0|7,0|?
SILBERSCHLAG P|12,01|6,80|25,0|25,0|?
SILBERSCHLAG S|12,28|7,69|34,0|34,0|?
SIMPELIUS|14,74|-72,61|70,0|70,0|?
SIMPELIUS A|16,10|-69,90|60,0|60,0|?
SIMPELIUS B|10,10|-75,17|50,0|50,0|?
SIMPELIUS C|5,38|-72,64|49,0|49,0|?
SIMPELIUS D|8,29|-71,56|54,0|54,0|?
SIMPELIUS E|10,60|-70,00|45,0|45,0|?
SIMPELIUS F|16,73|-68,69|29,0|29,0|?
SIMPELIUS G|22,76|-71,78|24,0|24,0|?
SIMPELIUS H|15,34|-67,94|29,0|29,0|?
SIMPELIUS J|8,11|-75,86|17,0|17,0|?
SIMPELIUS K|15,35|-74,71|23,0|23,0|?
SIMPELIUS L|6,53|-70,44|16,0|16,0|?
SIMPELIUS M|16,33|-70,52|7,0|7,0|?
SIMPELIUS N|24,09|-71,36|8,0|8,0|?
SIMPELIUS P|3,98|-75,29|8,0|8,0|?
SINAS|31,60|8,85|13,0|13,0|2300
Sinas 1|30,21|6,43|8,7|8,7|?
Sinas 2|31,73|7,01|9,0|9,0|?
Sinas 3|31,36|7,47|10,0|31,0|?
Sinas 4|32,29|8,74|0,0|0,0|?
Sinas 5|30,43|9,90|0,0|0,0|?
Sinas 6|31,20|11,30|6,0|6,0|?
Sinas 7|31,37|11,54|6,8|6,8|?
SINAS E|31,00|9,65|9,2|9,2|1700
Sinas E 1|30,52|10,08|0,0|0,0|?
Sinas E 2|32,19|10,37|7,0|7,0|?
Sinas E 3|31,50|10,37|7,0|7,0|?
Sinas E 4|31,05|10,60|10,0|10,0|?
Sinas E 5|31,95|10,72|9,0|9,0|?
Sinas E 6|32,31|10,84|2,0|2,0|?
Sinas E 7|30,22|11,07|5,5|5,5|?
SINAS H|33,56|10,01|6,0|6,0|?
Sinas H 8|33,88|10,60|7,0|7,0|?
Sinas H 9|33,84|11,83|11,0|11,0|?
SINAS J|33,70|10,31|6,0|6,0|?
SINUS AESTUUM|-8,34|12,10|230,0|230,0|?
SINUS AMORIS|37,29|19,92|250,0|150,0|?
SINUS ASPERITATIS|27,49|-5,41|180,0|380,0|?
SINUS FIDEI|2,04|17,99|70,0|50,0|?
SINUS HONORIS|17,87|11,72|100,0|70,0|?
SINUS IRIDUM|-31,67|45,01|400,0|260,0|?
SINUS LUNICUS|-1,85|32,36|80,0|80,0|?
SINUS MEDII|1,03|1,63|350,0|350,0|?
SIRSALIS|-60,51|-12,49|41,0|41,0|?
SIRSALIS A|-61,40|-12,67|42,0|42,0|?
SIRSALIS B|-63,77|-11,11|16,0|16,0|?
Sirsalis B 1|-65,75|-10,66|0,0|0,0|?
SIRSALIS C|-64,00|-10,35|22,0|22,0|?
Sirsalis C 1|-65,26|-10,84|0,0|0,0|?
Sirsalis C 2|-64,98|-10,49|0,0|0,0|?
Sirsalis C 3|-65,84|-9,85|0,0|0,0|?
SIRSALIS D|-58,70|-9,98|35,0|35,0|?
SIRSALIS E|-56,70|-8,16|72,0|72,0|?
SIRSALIS F|-60,15|-13,56|13,0|13,0|?
SIRSALIS G|-61,71|-13,85|30,0|30,0|?
SIRSALIS H|-62,50|-14,02|26,0|26,0|?
SIRSALIS J|-59,69|-13,42|12,0|12,0|?
SIRSALIS K|-57,47|-10,39|7,0|7,0|?
SIRSALIS T|-53,59|-9,28|16,0|16,0|?
SIRSALIS Z|-62,04|-10,37|91,0|91,0|?
Sirsalis Z 1|-61,25|-10,14|0,0|0,0|?
SLAVA|-35,00|38,30|0,1|0,1|
SLOCUM|89,07|-3,15|12,2|12,2|
SMOKY MOUNTAINS|15,60|-8,80|3,0|3,0|
SNELLIUS|55,70|-29,33|83,0|83,0|?
SNELLIUS A|53,68|-27,43|37,0|37,0|?
SNELLIUS B|53,21|-30,16|29,0|29,0|?
SNELLIUS C|51,41|-29,02|9,0|9,0|?
SNELLIUS D|51,46|-28,71|9,0|9,0|?
SNELLIUS E|51,50|-28,05|12,0|12,0|?
SNELLIUS X|54,95|-27,41|7,0|7,0|?
SNELLIUS Y|52,21|-25,74|10,0|10,0|?
SNOWMAN|-23,40|-3,20|0,7|0,7|
SOMMERING|-7,53|0,19|28,0|28,0|?
SOMMERING P|-10,33|2,14|6,0|6,0|?
SOMMERING R|-9,87|1,88|17,0|17,0|?
SORAYA|-1,63|-12,87|1,9|1,9|
SOSIGENES|17,60|8,70|18,0|18,0|1700
SOSIGENES A|18,47|7,76|12,0|12,0|?
SOUTH|-50,94|57,58|108,0|108,0|?
SOUTH A|-50,41|57,28|6,0|6,0|?
SOUTH B|-45,05|57,54|14,0|14,0|?
SOUTH C|-49,57|55,81|7,0|7,0|?
SOUTH CLUSTER|3,70|26,00|2,0|2,0|
SOUTH E|-53,00|56,70|8,0|8,0|?
SOUTH F|-54,09|57,13|7,0|7,0|?
SOUTH G|-53,25|55,00|6,0|6,0|?
SOUTH M|-51,02|55,31|6,0|6,0|?
SOUTH MASSIF|30,40|20,00|16,0|16,0|
SOUTH RAY|15,40|-9,20|0,8|0,8|
SPALLANZANI|24,73|-46,38|31,0|31,0|1500
SPALLANZANI A|25,62|-46,32|6,0|6,0|?
SPALLANZANI D|28,57|-46,19|6,0|6,0|?
SPALLANZANI F|28,03|-45,67|22,0|22,0|?
SPALLANZANI G|28,53|-45,42|15,0|15,0|?
SPITZBERGEN A|-7,10|32,71|7,0|7,0|?
SPITZBERGEN C|-8,81|32,88|7,0|7,0|?
SPOOK|15,50|-9,00|0,0|0,0|
SPORER|-1,77|-4,30|28,0|28,0|310
SPOT|15,50|-9,00|0,1|0,1|
SPUR|3,70|25,90|0,1|0,1|
SPURR|-1,27|27,91|13,0|13,0|?
ST GEORGE|3,50|26,00|2,3|2,3|
STADIUS|-13,77|10,48|70,0|70,0|650
STADIUS B|-13,62|11,84|6,0|6,0|?
STADIUS M|-16,57|14,73|7,0|7,0|?
STADIUS P|-15,23|11,75|6,0|6,0|?
STADIUS R|-15,26|12,25|6,0|6,0|?
STADIUS T|-15,75|13,18|80,0|5,0|?
STEINHEIL|46,66|-48,71|68,0|68,0|3000
STEINHEIL E|47,49|-44,88|16,0|16,0|?
STEINHEIL F|48,30|-45,34|21,0|21,0|?
STEINHEIL G|49,99|-45,70|19,0|19,0|?
STEINHEIL H|46,97|-45,77|20,0|20,0|?
STEINHEIL X|45,76|-47,60|17,0|17,0|?
STEINHEIL Y|45,06|-47,35|16,0|16,0|?
STEINHEIL Z|45,34|-46,41|23,0|23,0|?
STELLA|29,76|19,91|0,4|0,4|
STENO APOLLO|30,80|20,10|0,5|0,5|
STEVINUS|54,14|-32,49|75,0|75,0|?
Stevinus 1|54,31|34,54|1,0|1,0|?
STEVINUS A|51,65|-31,86|8,0|8,0|?
STEVINUS B|52,55|-31,12|20,0|20,0|?
STEVINUS C|52,71|-33,46|19,0|19,0|?
STEVINUS D|50,74|-34,76|22,0|22,0|?
STEVINUS E|52,36|-35,29|16,0|16,0|?
STEVINUS F|52,62|-30,61|10,0|10,0|?
STEVINUS G|50,37|-33,77|13,0|13,0|?
STEVINUS H|50,62|-33,19|15,0|15,0|?
STEVINUS J|52,36|-36,08|13,0|13,0|?
STEVINUS K|55,27|-34,26|8,0|8,0|?
STEVINUS L|55,99|-33,78|14,0|14,0|?
STEVINUS R|50,87|-31,69|26,0|26,0|?
STEVINUS S|51,07|-30,69|7,0|7,0|?
STIBORIUS|31,99|-34,49|45,0|45,0|3700
STIBORIUS A|35,54|-36,91|32,0|32,0|?
STIBORIUS B|33,50|-37,39|9,0|9,0|?
STIBORIUS C|33,25|-33,94|22,0|22,0|?
STIBORIUS D|35,57|-33,35|18,0|18,0|?
STIBORIUS E|34,03|-34,73|15,0|15,0|?
STIBORIUS F|32,39|-35,80|8,0|8,0|?
STIBORIUS G|35,78|-37,33|10,0|10,0|?
STIBORIUS J|35,57|-36,07|10,0|10,0|?
STIBORIUS K|34,53|-35,57|16,0|16,0|?
STIBORIUS L|33,35|-34,96|10,0|10,0|?
STIBORIUS M|32,69|-35,46|7,0|7,0|?
STIBORIUS N|32,84|-36,36|9,0|9,0|?
STIBORIUS P|33,89|-33,22|6,0|6,0|?
STOFLER|5,93|-41,24|126,0|126,0|2800
STOFLER D|4,29|-43,71|54,0|54,0|?
STOFLER E|5,75|-43,86|16,0|16,0|?
STOFLER F|4,92|-42,70|18,0|18,0|?
STOFLER G|1,91|-43,40|20,0|20,0|?
STOFLER H|1,62|-40,37|27,0|27,0|?
STOFLER J|2,49|-42,11|76,0|76,0|?
STOFLER K|4,14|-39,47|19,0|19,0|?
STOFLER L|7,84|-39,19|17,0|17,0|?
STOFLER M|8,09|-41,02|9,0|9,0|?
STOFLER N|6,61|-41,91|14,0|14,0|?
STOFLER O|1,19|-43,37|9,0|9,0|?
STOFLER P|7,33|-43,38|33,0|33,0|?
STOFLER R|1,73|-42,25|6,0|6,0|?
STOFLER S|5,71|-44,89|9,0|9,0|?
STONE MOUNTAIN|15,60|-9,10|5,0|5,0|
STRABO|54,42|61,94|55,0|55,0|?
STRABO B|55,48|64,57|23,0|23,0|?
STRABO C|59,43|67,10|17,0|17,0|?
STRABO L|53,48|64,21|26,0|26,0|?
STRABO N|57,53|64,77|25,0|25,0|?
STREET|-10,74|-46,58|58,0|58,0|1500
STREET A|-9,08|-47,02|17,0|17,0|?
STREET B|-12,15|-47,05|14,0|14,0|?
STREET C|-15,44|-48,42|15,0|15,0|?
STREET D|-12,73|-48,88|11,0|11,0|?
STREET E|-11,89|-47,48|12,0|12,0|?
STREET F|-16,72|-48,25|8,0|8,0|?
STREET G|-15,13|-46,69|11,0|11,0|?
STREET H|-12,25|-48,38|29,0|29,0|?
STREET J|-13,70|-48,74|7,0|7,0|?
STREET K|-13,18|-47,56|9,0|9,0|?
STREET L|-13,61|-50,74|8,0|8,0|?
STREET M|-14,58|-47,82|49,0|49,0|?
STREET P|-11,98|-45,63|6,0|6,0|?
STREET T|-15,21|-49,29|9,0|9,0|?
STRUVE|-76,65|23,41|171,0|171,0|?
STRUVE B|-77,14|18,98|14,0|14,0|?
STRUVE C|-75,40|22,86|11,0|11,0|?
STRUVE D|-73,76|25,34|10,0|10,0|?
STRUVE F|-73,71|22,48|9,0|9,0|?
STRUVE G|-74,00|23,90|14,0|14,0|?
STRUVE H|-83,36|25,18|21,0|21,0|?
STRUVE K|-73,07|23,46|6,0|6,0|?
STRUVE L|-76,15|20,68|15,0|15,0|?
STRUVE M|-75,30|23,28|15,0|15,0|?
STUBBY|15,50|-9,10|0,9|0,9|
Suess 1|-48,48|4,93|0,0|0,0|?
SUESS B|-47,39|5,66|8,0|8,0|?
SUESS D|-46,59|4,67|7,0|7,0|?
SUESS F|-44,72|1,16|7,0|7,0|?
SULPICIUS GALLUS|11,68|19,63|12,0|12,0|2200
Sulpicius Gallus 1|16,38|17,46|12,0|12,0|?
Sulpicius Gallus 2|12,28|19,03|4,0|5,0|?
Sulpicius Gallus 3|11,24|20,12|12,0|114,0|?
Sulpicius Gallus 4|10,74|20,12|16,0|10,0|?
Sulpicius Gallus 5|11,40|20,67|4,0|4,0|?
SULPICIUS GALLUS B|12,97|17,98|7,0|7,0|?
SULPICIUS GALLUS G|6,31|19,80|6,0|6,0|?
SURVEYOR|-23,40|-3,20|0,0|0,0|
SUSAN|-6,30|-11,00|1,0|1,0|
SVEDBERG|65,15|-81,68|15,3|15,3|
SWASEY|89,67|-5,46|24,8|24,8|
SWIFT|53,44|19,35|12,0|12,0|1860
SYLVESTER N|-68,68|82,41|20,0|20,0|?
T MAYER|-29,17|15,54|33,0|33,0|1600
T. MAYER A|-28,30|15,24|16,0|16,0|?
T. MAYER B|-30,91|15,35|13,0|13,0|?
T. MAYER C|-26,00|12,21|15,6|15,6|2510
T. MAYER E|-26,19|16,04|9,0|9,0|?
T. MAYER F|-28,94|12,87|6,0|6,0|?
T. MAYER G|-27,17|17,35|7,0|7,0|?
T. MAYER P|-29,58|14,02|35,0|35,0|?
T. MAYER W|-34,96|17,57|34,0|34,0|?
TACITUS|18,95|-16,20|40,0|40,0|2840
TACITUS A|20,46|-17,47|11,0|11,0|?
TACITUS B|20,45|-14,05|13,0|13,0|?
TACITUS C|19,79|-13,70|9,0|9,0|?
TACITUS D|20,92|-13,52|15,0|15,0|?
TACITUS E|20,13|-13,95|9,0|9,0|?
TACITUS F|17,55|-17,09|10,0|10,0|?
TACITUS G|18,23|-17,46|6,0|6,0|?
TACITUS H|18,52|-17,83|7,0|7,0|?
TACITUS L|20,90|-14,40|6,0|6,0|?
TACITUS M|21,48|-13,97|6,0|6,0|?
TACITUS S|19,09|-14,50|10,0|10,0|?
TACQUET B|20,07|15,94|14,0|14,0|?
TACQUET C|21,08|13,47|6,0|6,0|?
TAIZO|2,20|24,70|8,2|8,2|
TALBOT|85,30|-2,47|12,4|12,4|
TANNERUS|21,92|-56,44|30,0|30,0|1700
TANNERUS B|19,73|-57,79|14,0|14,0|?
TANNERUS C|22,80|-55,42|16,0|16,0|?
TANNERUS D|17,93|-55,93|32,0|32,0|?
TANNERUS E|19,64|-56,20|26,0|26,0|?
TANNERUS F|22,04|-54,97|36,0|36,0|?
TANNERUS G|16,17|-55,15|22,0|22,0|?
TANNERUS H|22,74|-54,25|20,0|20,0|?
TANNERUS J|24,71|-57,35|12,0|12,0|?
TANNERUS K|20,68|-55,63|8,0|8,0|?
TANNERUS L|22,20|-57,54|7,0|7,0|?
TANNERUS M|20,91|-55,00|6,0|6,0|?
TANNERUS N|24,12|-55,91|10,0|10,0|?
TANNERUS P|21,94|-55,66|20,0|20,0|?
TARUNTIUS|46,54|5,50|56,0|56,0|1200
Taruntius 1|48,18|4,47|0,0|0,0|?
TARUNTIUS B|46,67|3,29|7,0|7,0|?
TARUNTIUS F|40,51|3,92|11,0|11,0|?
Taruntius F 1|37,63|2,41|25,0|22,0|?
Taruntius F 2|38,36|2,58|25,0|22,0|?
Taruntius F 3|38,20|3,90|16,0|16,0|?
TARUNTIUS H|49,88|0,33|8,0|8,0|?
TARUNTIUS L|44,52|5,46|14,0|14,0|?
TARUNTIUS O|54,33|2,23|7,0|7,0|?
TARUNTIUS T|47,40|3,60|10,0|10,0|?
TARUNTIUS U|50,13|5,54|12,0|12,0|?
TARUNTIUS V|49,83|4,45|21,0|21,0|?
TARUNTIUS W|49,05|5,44|15,0|15,0|?
TARUNTIUS X|52,94|7,86|23,0|23,0|?
TARUNTIUS Z|44,90|7,56|17,0|17,0|?
TAURUS LITTROW VALLEY|31,00|20,00|30,0|30,0|
TAYLOR|16,65|-5,28|41,0|34,0|2480
TAYLOR A|15,35|-4,23|38,0|38,0|?
TAYLOR AB|14,61|-3,20|23,0|23,0|?
TAYLOR B|14,29|-4,34|29,0|29,0|?
TAYLOR D|15,69|-5,34|8,0|8,0|?
TAYLOR E|17,11|-6,06|14,0|14,0|?
TEBBUTT|53,52|9,46|31,0|31,0|?
TEMPEL|11,86|3,76|48,0|48,0|1250
TERRACE|3,70|26,10|0,1|0,1|
Tetyaev 1|62,13|18,36|5,0|6,0|?
Tetyaev 2|60,88|19,21|3,0|4,0|?
THALES|50,27|61,74|31,0|31,0|?
THALES A|40,89|58,56|12,0|12,0|?
THALES E|43,23|57,21|29,0|29,0|?
THALES F|42,08|59,37|37,0|37,0|?
THALES G|45,54|61,75|12,0|12,0|?
THALES H|48,13|60,40|10,0|10,0|?
THALES W|39,90|58,59|6,0|6,0|?
THEAETETUS|6,06|37,01|25,0|25,0|2830
Theaetetus 1|3,91|33,30|1,0|1,0|?
Theaetetus 2|4,96|34,82|2,0|2,0|?
Theaetetus 3|6,71|35,59|15,0|15,0|?
THEBIT|-4,02|-22,01|58,0|58,0|3270
THEBIT A|-4,93|-21,58|20,0|20,0|2720
Thebit B 1|-6,82|-22,09|0,0|0,0|?
Thebit B 2|-6,28|-19,69|11,0|11,0|?
THEBIT C|-4,12|-21,27|6,0|6,0|?
THEBIT E|-4,65|-23,12|7,0|7,0|?
THEBIT J|-5,53|-22,55|10,0|10,0|?
THEBIT L|-5,37|-21,47|12,0|12,0|?
THEBIT P|-5,63|-24,06|78,0|78,0|?
THEBIT Q|-4,24|-20,08|16,0|16,0|?
THEBIT R|-4,80|-20,20|9,0|9,0|?
THEBIT S|-7,22|-24,88|16,0|16,0|?
Thebit U 1|-6,32|-20,55|12,0|6,0|91
THEON JUNIOR|15,79|-2,41|18,0|18,0|3580
THEON JUNIOR B|13,27|-2,19|8,0|8,0|?
THEON SENIOR|15,42|-0,81|18,0|18,0|3470
THEON SENIOR B|14,12|0,17|6,0|6,0|?
THEON SENIOR C|14,51|-1,42|6,0|6,0|?
THEOPHILUS|26,28|-11,45|101,0|101,0|4400
THEOPHILUS B|25,23|-10,59|8,0|8,0|?
THEOPHILUS E|23,98|-6,87|21,0|21,0|?
THEOPHILUS F|25,98|-8,02|13,0|13,0|?
THEOPHILUS G|25,77|-7,21|19,0|19,0|?
THEOPHILUS K|26,29|-12,60|6,0|6,0|?
THEOPHILUS W|28,61|-7,79|3,6|3,6|
TIMAEUS|-0,55|62,91|33,0|33,0|?
TIMOCHARIS|-13,10|26,72|35,0|35,0|3110
Timocharis 1|-12,55|24,33|70,0|70,0|?
Timocharis 2|-12,17|25,09|10,0|10,0|?
Timocharis 3|-13,04|29,21|4,0|4,0|?
Timocharis 4|-12,18|31,94|0,0|0,0|?
Timocharis 5|-11,56|32,01|0,0|0,0|?
Timocharis 6|-12,35|32,68|28,0|28,0|?
Timocharis A 1|-14,20|24,08|0,0|0,0|?
Timocharis C 1|-14,22|24,77|0,0|0,0|?
TISSERAND|48,17|21,41|36,0|36,0|?
TISSERAND A|49,48|20,36|24,0|24,0|?
TISSERAND B|51,37|20,65|8,0|8,0|?
TISSERAND D|49,47|21,76|7,0|7,0|?
TISSERAND K|50,33|19,74|11,0|11,0|?
Tobias Mayer 1|-29,93|13,59|0,0|0,0|?
Tobias Mayer D 1|-27,38|11,95|12,3|12,3|280
Tobias Mayer P 1|-29,35|13,77|3,0|3,0|?
Tobias Mayer P 2|-28,70|14,00|0,0|0,0|?
Tobias Mayer P 3|-29,24|14,00|3,0|3,0|?
Tobias Mayer P 4|-29,51|14,00|3,0|3,0|?
Tobias Mayer P 5|-29,33|14,12|3,0|3,0|?
TOLANSKY|-15,98|-9,52|13,0|13,0|880
TORRICELLI|28,40|-4,72|23,0|23,0|2100
Torricelli 1|26,84|-5,97|7,0|7,0|?
TORRICELLI A|29,78|-4,54|11,0|11,0|?
TORRICELLI B|29,17|-2,63|7,0|7,0|?
TORRICELLI C|26,01|-2,71|11,0|11,0|?
TORRICELLI F|29,37|-4,22|7,0|7,0|?
Torricelli G 1|26,69|-1,72|30,0|17,0|?
TORRICELLI H|25,31|-3,35|7,0|7,0|?
TORRICELLI K|25,22|-4,04|6,0|6,0|?
TORRICELLI M|31,27|-3,62|14,0|14,0|?
TORRICELLI R|28,14|-5,24|87,0|87,0|?
TORTILLA FLAT|30,70|20,20|1,0|1,0|
TOWNLEY|63,19|3,42|20,0|20,0|?
TRALLES|52,85|28,32|43,0|43,0|3350
TRALLES A|47,03|27,42|18,0|18,0|?
TRALLES B|50,66|27,26|11,0|11,0|?
TRALLES C|49,40|27,80|7,0|7,0|?
TRAP|15,40|-9,10|1,1|1,1|
TRIDENT|30,80|20,20|0,3|0,3|
TRIESNECKER|3,60|4,18|27,0|27,0|2800
Triesnecker 1|3,96|3,73|0,0|0,0|?
Triesnecker 2|3,51|3,90|5,1|3,0|?
TRIESNECKER D|5,95|3,48|6,0|6,0|?
TRIPLET|-17,50|-3,70|0,3|0,3|
TROUVELOT|5,79|49,37|8,0|8,0|1150
TUCKER|88,21|-5,62|6,8|6,8|
TURNER|-13,24|-1,40|12,0|12,0|2630
TURNER A|-14,75|-1,09|6,0|6,0|?
TURNER F|-14,12|-1,64|7,0|7,0|?
TYCHO|-11,22|-43,30|86,0|86,0|4800
TYCHO A|-12,07|-39,94|31,0|31,0|?
TYCHO B|-13,92|-43,99|13,0|13,0|?
TYCHO C|-13,46|-44,12|7,0|7,0|?
TYCHO D|-14,07|-45,58|27,0|27,0|?
TYCHO E|-13,66|-42,34|14,0|14,0|?
TYCHO F|-13,21|-40,91|16,0|16,0|?
TYCHO H|-15,92|-45,29|8,0|8,0|?
TYCHO J|-15,42|-42,58|11,0|11,0|?
TYCHO K|-14,38|-45,18|6,0|6,0|?
TYCHO P|-13,06|-45,44|8,0|8,0|?
TYCHO Q|-15,99|-42,50|21,0|21,0|?
TYCHO T|-12,62|-41,15|14,0|14,0|?
TYCHO U|-13,91|-41,08|19,0|19,0|?
TYCHO W|-15,38|-43,30|19,0|19,0|?
TYCHO X|-15,25|-43,84|13,0|13,0|?
TYCHO Y|-15,93|-44,12|19,0|19,0|?
TYCHO Z|-16,35|-43,23|24,0|24,0|?
UKERT|1,37|7,71|23,0|23,0|2800
UKERT A|1,35|8,72|9,0|9,0|?
UKERT B|1,28|8,35|21,0|21,0|?
UKERT M|2,18|7,99|26,0|26,0|?
UKERT N|2,01|7,58|17,0|17,0|?
UKERT R|0,69|7,93|18,0|18,0|?
ULUGH BEIGH|-81,96|32,67|55,0|55,0|?
ULUGH BEIGH A|-79,34|34,13|41,0|41,0|?
ULUGH BEIGH B|-79,30|32,79|8,0|8,0|?
ULUGH BEIGH C|-79,24|31,40|31,0|31,0|?
ULUGH BEIGH D|-82,51|31,54|21,0|21,0|?
ULUGH BEIGH M|-83,46|35,70|7,0|7,0|?
VALERA|-35,00|38,30|0,1|0,1|
VALLIS ALPES|3,63|49,21|130,0|11,0|?
VALLIS BAADE|-77,23|-45,55|160,0|28,0|?
VALLIS BOHR|-88,86|10,25|95,3|95,3|
VALLIS CAPELLA|35,04|-7,39|110,0|11,0|?
VALLIS CHRISTEL|11,08|24,54|2,1|2,1|
VALLIS INGHIRAMI|-72,59|-43,95|140,0|22,0|?
VALLIS KRISHNA|11,26|24,50|3,0|3,0|?
VALLIS PALITZSCH|64,64|-26,16|110,0|16,0|?
VALLIS RHEITA|51,65|-42,51|500,0|0,0|?
VALLIS SCHROTERI|-51,58|26,16|160,0|10,0|1000
VALLIS SNELLIUS|57,84|-30,93|500,0|22,0|?
VAN ALBADA|64,35|9,36|22,0|22,0|?
VAN SERG|30,80|20,20|0,1|0,1|
VAN VLECK|78,20|-1,77|31,0|31,0|?
VASCO DA GAMA|-83,94|13,78|96,0|96,0|2100
VASCO DA GAMA A|-80,07|12,63|23,0|23,0|?
VASCO DA GAMA B|-83,12|15,72|27,0|27,0|?
VASCO DA GAMA C|-85,07|11,48|44,0|44,0|?
VASCO DA GAMA F|-80,78|13,86|53,0|53,0|?
VASCO DA GAMA P|-80,34|12,00|91,0|91,0|?
VASCO DA GAMA R|-83,51|9,91|59,0|59,0|?
VASCO DA GAMA S|-82,94|12,63|28,0|28,0|?
VASCO DA GAMA T|-83,50|11,87|20,0|20,0|?
VASYA|-35,00|38,30|0,1|0,1|
VEGA|63,27|-45,41|76,0|76,0|?
VEGA A|65,15|-47,25|12,0|12,0|?
VEGA B|63,50|-46,23|30,0|30,0|?
VEGA C|64,72|-45,27|21,0|21,0|?
VEGA D|64,47|-44,89|25,0|25,0|?
VEGA G|62,46|-44,43|11,0|11,0|?
VEGA H|60,27|-44,59|6,0|6,0|?
VEGA J|60,04|-45,56|19,0|19,0|?
VENDELINUS|61,55|-16,46|147,0|147,0|?
VENDELINUS D|58,24|-19,05|10,0|10,0|?
VENDELINUS E|61,02|-18,08|21,0|21,0|?
VENDELINUS F|64,92|-18,49|32,0|32,0|?
VENDELINUS H|61,50|-15,30|7,0|7,0|?
VENDELINUS K|62,44|-13,82|9,0|9,0|?
VENDELINUS L|61,79|-17,56|17,0|17,0|?
Vendelinus L 1|61,63|-17,76|0,0|0,0|?
VENDELINUS N|65,87|-16,82|18,0|18,0|?
VENDELINUS P|66,33|-17,56|16,0|16,0|?
VENDELINUS Y|62,24|-17,58|10,0|10,0|?
VENDELINUS Z|62,41|-17,20|7,0|7,0|?
VERY|25,35|25,62|5,0|5,0|950
VICTORY|30,70|20,20|0,5|0,5|
VIETA|-56,53|-29,31|88,0|88,0|4500
VIETA A|-59,47|-30,35|34,0|34,0|?
VIETA B|-60,33|-30,49|40,0|40,0|?
VIETA C|-58,56|-28,68|12,0|12,0|?
VIETA D|-54,30|-27,84|8,0|8,0|?
VIETA E|-58,25|-26,95|11,0|11,0|?
VIETA F|-57,87|-26,79|6,0|6,0|?
VIETA G|-57,12|-29,37|6,0|6,0|?
VIETA J|-56,06|-28,89|6,0|6,0|?
VIETA L|-60,42|-29,50|8,0|8,0|?
VIETA P|-58,05|-27,52|8,0|8,0|?
VIETA T|-57,93|-32,39|28,0|28,0|?
VIETA Y|-55,96|-30,57|11,0|11,0|?
VITELLO|-37,55|-30,42|41,0|41,0|1700
VITELLO A|-41,97|-34,11|21,0|21,0|?
VITELLO B|-35,45|-31,17|11,0|11,0|?
VITELLO C|-42,58|-32,43|14,0|14,0|?
VITELLO D|-41,06|-33,17|18,0|18,0|?
VITELLO E|-35,82|-29,18|7,0|7,0|?
VITELLO G|-37,67|-32,20|10,0|10,0|?
VITELLO H|-43,13|-32,80|12,0|12,0|?
VITELLO K|-37,63|-31,80|13,0|13,0|?
VITELLO L|-35,32|-31,63|7,0|7,0|?
VITELLO M|-36,02|-32,39|7,0|7,0|?
VITELLO P|-38,43|-31,20|9,0|9,0|?
VITELLO S|-35,23|-30,84|6,0|6,0|?
VITELLO T|-39,76|-33,81|9,0|9,0|?
VITELLO X|-40,68|-32,22|8,0|8,0|?
VITRUVIUS|31,28|17,66|30,0|30,0|1550
Vitruvius 1|34,28|14,60|2,5|2,5|?
Vitruvius 2|35,32|14,77|13,0|13,0|?
Vitruvius 3|34,64|15,01|8,0|13,0|?
VITRUVIUS B|32,96|16,37|18,0|18,0|?
Vitruvius E 1|29,24|17,04|0,0|0,0|?
VITRUVIUS G|34,61|13,89|6,0|6,0|?
Vitruvius G 1|33,39|14,00|6,0|6,0|?
Vitruvius G 2|34,26|14,12|13,0|13,0|?
Vitruvius G 3|32,43|14,12|7,0|50,0|?
Vitruvius G 4|33,85|14,18|0,0|0,0|?
Vitruvius G 5|32,42|14,54|18,0|13,0|?
Vitruvius G 5|32,24|14,30|6,0|6,0|?
Vitruvius G 6|33,83|14,89|4,6|4,6|?
Vitruvius G 7|35,24|15,49|9,0|9,0|?
Vitruvius G 8|35,10|15,55|14,0|14,0|?
VITRUVIUS H|33,80|16,36|22,0|22,0|?
Vitruvius H 1|34,59|14,36|5,0|5,0|?
VITRUVIUS L|30,68|18,94|6,0|6,0|?
VITRUVIUS T|33,24|17,06|15,0|15,0|?
Vitruvius T 1|33,89|16,74|60,9|60,9|975
VITYA|-35,00|38,30|0,2|0,2|
VLACQ|38,69|-53,39|89,0|89,0|3000
VLACQ A|39,01|-51,28|17,0|17,0|?
VLACQ B|39,76|-51,15|18,0|18,0|?
